Latitude,Longitude,Timestamp,User_ID_Partial
38.83913663894853,-104.8233773678094,1751141751000,user_4d86c78...
38.8391366624572,-104.82337738770097,1751141751019,user_4d86c78...
38.83913665538849,-104.82337738171849,1751141751019,user_4d86c78...
38.83913464693852,-104.82335274284819,1751141811582,user_4d86c78...
38.83913948983628,-104.82334904546975,1751141872232,user_4d86c78...
38.83923965886958,-104.82352430215664,1751141922842,user_4d86c78...
38.83923965886958,-104.82352430215664,1751142012842,user_4d86c78...
38.83918642854527,-104.82342640989805,1751142374811,user_4d86c78...
38.83918639392181,-104.82342634810607,1751142383079,user_4d86c78...
38.83918639392181,-104.82342634810607,1751142424803,user_e8d6547...
38.83918881250393,-104.82343189200675,1751142424847,user_e8d6547...
38.83918881196737,-104.8234318907785,1751142424847,user_e8d6547...
38.83918881196737,-104.8234318907785,1751142454537,user_ffd73b8...
38.83920349612494,-104.82345146364763,1751142455067,user_ffd73b8...
38.83918751286744,-104.82343633678174,1751142515612,user_ffd73b8...
38.83918751286744,-104.82343633678174,1751142538713,user_ad84b71...
38.83918751286744,-104.82343633678174,1751142538680,user_ad84b71...
38.83918748634816,-104.82343630668244,1751142538731,user_ad84b71...
38.83918748302282,-104.82343630311983,1751142538731,user_ad84b71...
38.83918748634816,-104.82343630668244,1751142546436,user_2bac08e...
